computer,"Device that can receive data,
process the data according to a set
of instructions and produce the
processed data as a result"
Computer architecture,
Byte,"Binary number
made up of
eight bits"
Bit,"Binary digit which
can take on the value
of either 0 or 1"
Arithmetic logic unit (ALU),"Part of the processor that
processes data by performing basic
mathematical and logical operations"
"Central processing unit
(or processor)","Part of the computer that processes
data and follows instructions"
Control unit,"Part of the processor that follows
instructions and decides when
data should be stored, received or
transmitted by different parts of
the computer"
Execute,To follow or perform an instruction
Software,"Set of instructions to perform
specific tasks on a computer"
Address,"Number that is used to locate a
byte in memory"
Memory,"Device that is used to store data for
immediate use in a computer"
Hard disk (or hard drive),"Secondary storage where data
is stored on rigid rotating disks
coated with a magnetic material"
Volatile,"Lost when the power supply
is interrupted"
Bi-directional,"Able to work in two directions, to
and fro"
Data bus,"Bus that is used to transport data
between memory and the processor"
Address bus,"Bus that is used to specify memory
address information"
Uni-directional,Able to work in one direction only
Magnetic Storage,"Data is stored on a
magnetic material
that can be read
or written by a
magnetic ¡°head¡±"
Optical Storage,"Data is stored as
very small pits or
indentations that
can be read or
written by a laser"
Solid-state Storage,"Data is stored in
electronic circuits
called ¡°flash
memory¡± that
have no moving
parts"
Decomposition,"Breaking down a complex problem
or process into smaller and more
manageable parts"
Sub-problem,"A problem whose solution contributes
to the solution of a bigger problem"
Generalisation,"Technique of replacing two
or more similar problems or
solutions with a single, more
general problem or solution"
Pattern recognition,Identifying similaritiesamong two or more items
Dry run,"Process of running through a set of
steps manually"
Compiler,"Code translator program
that translates source
code into machine code
completely before running
the compiled program"
Interpreter,"Code translator program
that translates source code
into machine code while
the interpreted program
is running"
Global variable,"Variable that is created
outside of a UDF and is
readable from the UDF¡¯s
body if its name is not
hidden by a local variable"
Data validation,"Process of ensuring that
the input data supplied to
a system satisfies a set of
rules such that it is sensible,
complete and within
acceptable boundaries."
Run-time error,"Error that occurs while the
program is running"
Logic error,"Error that causes the
output of a program to
be different from what
is expected"
Data corruption,"When data is made unusable
by errors or alterations"
Data loss,"When data is destroyed and
cannot be recovered"
Backup,"Copy of data that is made in case
the original is damaged or lost"
"Uninterruptible power
supply (UPS)","Device that provides enough
emergency power for a
computer to properly shut down
in case of a power failure"
Authentication,"Process of verifying the
identity of a user"
Authentication factor,"Category of evidence that
is used for authentication:
something the user knows
or owns, or something
that is measured from a
physical part of the user"
Unauthorised access,"Situation where data
owned by someone is
used by someone else
without permission"
Security token,"Device that is used
specifically for authentication
purposes"
Two-factor authentication,"Type of authentication that
uses evidence from both
something the user knows
and something the user owns"
Biometrics,"Type of authentication
based on the
measurement of human
physical characteristics"
Identity theft,"Impersonation of another
person to steal personal
details such as name
and identity number for
fraudulent purposes"
"Access control
(or authorisation)","Ability of a computer to control
a user¡¯s access to data and
resources"
Permissions,"Settings to control the ability of
users to view or make changes
to the contents of a file or folder"
Administrator,"Special user who can override
the permissions for almost any
file or folder"
Administrator rights,"Ability of a user to perform
tasks related to authentication
and authorisation, such as
creating and removing user
accounts, resetting passwords
and overriding file permissions"
Firewall,"Device or computer
program that prevents
unauthorised access to or
from a private network"
Traffic,"Transmission of data over
a network"
